Team,No,Position,Player,Date_of_Birth,Age,Caps,Goals,Club
Senegal,,FW,Iliman Ndiaye,"March 6, 2000",26,39,4,Everton
Senegal,,FW,Nicolas Jackson,"June 20, 2001",24,32,8,Bayern Munich
Senegal,,FW,Bamba Dieng,"March 23, 2000",26,22,2,Lorient
Senegal,,FW,Cherif Ndiaye,"January 23, 1996",30,18,4,Samsunspor
Senegal,,FW,Ibrahim Mbaye,"January 24, 2008",18,10,3,Paris Saint-Germain
Senegal,,FW,Assane Diao,"December 7, 2005",20,5,0,Como
Algeria,,GK,Luca Zidane,"May 13, 1998",28,6,0,Granada
Algeria,,GK,Oussama Benbot,"October 11, 1994",31,2,0,USM Alger
Algeria,,GK,Melvin Mastil,"February 19, 2000",26,1,0,Stade Nyonnais
Algeria,,DF,Aïssa Mandi,"October 22, 1991",34,116,7,Lille
Algeria,,DF,Ramy Bensebaini,"April 16, 1995",31,81,7,Borussia Dortmund
Algeria,,DF,Mohamed Amine Tougai,"January 22, 2000",26,28,2,Espérance de Tunis
Algeria,,DF,Rayan Aït-Nouri,"June 6, 2001",25,27,0,Manchester City
Algeria,,DF,Jaouen Hadjam,"March 26, 2003",23,16,3,Young Boys
Algeria,,DF,Rafik Belghali,"June 7, 2002",24,11,1,Hellas Verona
Algeria,,DF,Zineddine Belaïd,"March 20, 1999",27,9,1,JS Kabylie
Algeria,,DF,Achref Abada,"June 15, 1999",26,6,1,USM Alger
Algeria,,DF,Samir Chergui,"February 6, 1999",27,4,0,Paris FC
Algeria,,MF,Nabil Bentaleb,"November 24, 1994",31,58,6,Lille
Algeria,,MF,Ramiz Zerrouki,"May 26, 1998",28,51,3,Twente
Algeria,,MF,Hicham Boudaoui,"September 23, 1999",26,32,0,Nice
Algeria,,MF,Farès Chaïbi,"November 28, 2002",23,28,3,Eintracht Frankfurt
Algeria,,MF,Houssem Aouar,"June 30, 1998",27,19,6,Al-Ittihad
Algeria,,MF,Ibrahim Maza,"November 24, 2005",20,15,2,Bayer Leverkusen
Algeria,,MF,Yacine Titraoui,"July 26, 2003",22,5,0,Charleroi
Algeria,,FW,Riyad Mahrez (captain),"February 21, 1991",35,113,38,Al-Ahli
Algeria,,FW,Mohamed Amoura,"May 9, 2000",26,44,19,VfL Wolfsburg
Algeria,,FW,Amine Gouiri,"February 16, 2000",26,21,8,Marseille
Algeria,,FW,Anis Hadj Moussa,"February 11, 2002",24,13,0,Feyenoord
Algeria,,FW,Adil Boulbina,"May 2, 2003",23,10,6,Al-Duhail
Algeria,,FW,Nadhir Benbouali,"April 17, 2000",26,2,1,Győri ETO
Algeria,,FW,Farès Ghedjemis,"September 6, 2002",23,1,1,Frosinone
Argentina,1,GK,Juan Musso,"May 6, 1994",32,3,0,Atlético Madrid
Argentina,2,DF,Leonardo Balerdi,"January 26, 1999",27,11,0,Marseille
Argentina,3,DF,Nicolás Tagliafico,"August 31, 1992",33,75,1,Lyon
Argentina,4,DF,Gonzalo Montiel,"January 1, 1997",29,38,2,River Plate
Argentina,5,MF,Leandro Paredes,"June 29, 1994",31,77,5,Boca Juniors
Argentina,6,DF,Lisandro Martínez,"January 18, 1998",28,26,1,Manchester United
Argentina,7,MF,Rodrigo De Paul,"May 24, 1994",32,85,2,Inter Miami CF
Argentina,8,MF,Valentín Barco,"July 23, 2004",21,2,1,Strasbourg
Argentina,9,FW,Julián Alvarez,"January 31, 2000",26,51,14,Atlético Madrid
Argentina,10,FW,Lionel Messi (captain),"June 24, 1987",38,198,116,Inter Miami CF
Argentina,11,MF,Giovani Lo Celso,"April 9, 1996",30,65,4,Real Betis
Argentina,12,GK,Gerónimo Rulli,"May 20, 1992",34,7,0,Marseille
Argentina,13,DF,Cristian Romero,"April 27, 1998",28,49,3,Tottenham Hotspur
Argentina,14,MF,Exequiel Palacios,"October 5, 1998",27,38,0,Bayer Leverkusen
Argentina,15,FW,Nicolás González,"April 6, 1998",28,50,6,Atlético Madrid
Argentina,16,FW,Thiago Almada,"April 26, 2001",25,14,4,Atlético Madrid
Argentina,17,FW,Giuliano Simeone,"December 18, 2002",23,11,1,Atlético Madrid
Argentina,18,FW,Nico Paz,"September 8, 2004",21,8,1,Como
Argentina,19,DF,Nicolás Otamendi,"February 12, 1988",38,130,8,Benfica
Argentina,20,MF,Alexis Mac Allister,"December 24, 1998",27,44,6,Liverpool
Argentina,21,FW,José Manuel López,"December 6, 2000",25,3,0,Palmeiras
Argentina,22,FW,Lautaro Martínez,"August 22, 1997",28,75,36,Inter Milan
Argentina,23,GK,Emiliano Martínez,"September 2, 1992",33,59,0,Aston Villa
Argentina,24,MF,Enzo Fernández,"January 17, 2001",25,40,6,Chelsea
Argentina,25,DF,Facundo Medina,"May 28, 1999",27,7,0,Marseille
Argentina,26,DF,Nahuel Molina,"April 6, 1998",28,58,1,Atlético Madrid
Austria,1,GK,Alexander Schlager,"February 1, 1996",30,25,0,Red Bull Salzburg
Austria,2,DF,David Affengruber,"March 19, 2001",25,1,0,Elche
Austria,3,DF,Kevin Danso,"September 19, 1998",27,31,0,Tottenham Hotspur
Austria,4,MF,Xaver Schlager,"September 28, 1997",28,50,4,RB Leipzig
Austria,5,DF,Stefan Posch,"May 14, 1997",29,51,5,Mainz 05
Austria,6,MF,Nicolas Seiwald,"May 4, 2001",25,46,1,RB Leipzig
Austria,7,FW,Marko Arnautović,"April 19, 1989",37,132,47,Red Star Belgrade
Austria,8,DF,David Alaba (captain),"June 24, 1992",33,112,15,Real Madrid
Austria,9,MF,Marcel Sabitzer,"March 17, 1994",32,97,25,Borussia Dortmund
Austria,10,MF,Florian Grillitsch,"August 7, 1995",30,58,1,Braga
Austria,11,FW,Michael Gregoritsch,"April 18, 1994",32,74,24,FC Augsburg
Austria,12,GK,Florian Wiegele,"March 21, 2001",25,1,0,Viktoria Plzeň
Austria,13,GK,Patrick Pentz,"January 2, 1997",29,18,0,Brøndby
Austria,14,FW,Saša Kalajdžić,"July 7, 1997",28,21,4,LASK
Austria,15,DF,Philipp Lienhart,"July 11, 1996",29,40,3,SC Freiburg
Austria,16,DF,Phillipp Mwene,"January 29, 1994",32,29,0,Mainz 05
Austria,17,MF,Carney Chukwuemeka,"October 20, 2003",22,2,1,Borussia Dortmund
Austria,18,MF,Romano Schmid,"January 27, 2000",26,33,3,Werder Bremen
Austria,19,MF,Christoph Baumgartner,"August 1, 1999",26,58,19,RB Leipzig
Austria,20,MF,Konrad Laimer,"May 27, 1997",29,56,7,Bayern Munich
Austria,21,MF,Patrick Wimmer,"May 30, 2001",25,30,1,VfL Wolfsburg
Austria,22,DF,Alexander Prass,"May 26, 2001",25,18,0,TSG Hoffenheim
Austria,23,DF,Marco Friedl,"March 16, 1998",28,10,0,Werder Bremen
Austria,24,MF,Paul Wanner,"December 23, 2005",20,2,0,PSV Eindhoven
Austria,25,DF,Michael Svoboda,"October 15, 1998",27,4,0,Venezia
Austria,26,MF,Alessandro Schöpf,"February 7, 1994",32,35,6,Wolfsberger AC
Jordan,,GK,Yazeed Abulaila,"January 8, 1993",33,75,0,Al-Hussein
Jordan,,GK,Abdallah Al-Fakhouri,"January 22, 2000",26,11,0,Al-Wehdat
Jordan,,GK,Nour Bani Attiah,"January 25, 1993",33,4,0,Al-Faisaly
Jordan,,DF,Ihsan Haddad (captain),"February 5, 1994",32,91,2,Al-Hussein
Jordan,,DF,Yazan Al-Arab,"January 31, 1996",30,79,3,FC Seoul
Jordan,,DF,Abdallah Nasib,"February 25, 1994",32,64,3,Al-Zawraa
Jordan,,DF,Saed Al-Rosan,"February 1, 1997",29,20,2,Al-Hussein
Jordan,,DF,Husam Abu Dahab,"May 13, 2000",26,17,0,Al-Faisaly
Jordan,,DF,Mo Abualnadi,"February 8, 2001",25,17,0,Selangor
Jordan,,DF,Salim Obaid,"January 17, 1992",34,10,0,Al-Hussein
Jordan,,DF,Anas Badawi,"September 13, 1997",28,1,0,Al-Faisaly
Jordan,,MF,Rajaei Ayed,"July 25, 1993",32,72,0,Al-Hussein
Jordan,,MF,Noor Al-Rawabdeh,"February 24, 1997",29,67,3,Selangor
Jordan,,MF,Ibrahim Sadeh,"April 27, 2000",26,56,3,Al-Karma
Jordan,,MF,Mohammad Abu Hashish,"May 9, 1995",31,55,1,Al-Karma
Jordan,,MF,Nizar Al-Rashdan,"March 23, 1999",27,46,4,Qatar SC
Jordan,,MF,Mohannad Abu Taha,"February 2, 2003",23,28,1,Al-Quwa Al-Jawiya
Jordan,,MF,Amer Jamous,"July 3, 2002",23,18,1,Al-Zawraa
Jordan,,MF,Mohammad Al-Dawoud,"December 4, 1992",33,12,1,Al-Wehdat
Jordan,,MF,Yousef Qashi,"April 15, 2005",21,1,0,Al-Hussein
Jordan,,MF,Mohammad Taha,"July 13, 2005",20,0,0,Al-Hussein
Jordan,,FW,Musa Al-Taamari,"June 10, 1997",29,91,24,Rennes
Jordan,,FW,Mahmoud Al-Mardi,"October 6, 1993",32,88,9,Al-Hussein
Jordan,,FW,Ali Olwan,"March 26, 2000",26,65,29,Al-Sailiya
Jordan,,FW,Mohammad Abu Zrayq,"December 30, 1997",28,40,5,Raja Casablanca
Jordan,,FW,Odeh Al-Fakhouri,"November 22, 2005",20,9,1,Pyramids
Jordan,,FW,Ibrahim Sabra,"February 1, 2006",20,9,1,Lokomotiva Zagreb
Jordan,,FW,Ali Azaizeh,"April 13, 2004",22,3,0,Al-Shabab
Colombia,,GK,David Ospina,"August 31, 1988",37,129,0,Atlético Nacional
Colombia,,GK,Camilo Vargas,"March 9, 1989",37,40,0,Atlas
Colombia,,GK,Álvaro Montero,"March 29, 1995",31,11,0,Vélez Sarsfield
Colombia,,DF,Davinson Sánchez,"June 12, 1996",29,77,3,Galatasaray
Colombia,,DF,Santiago Arias,"January 13, 1992",34,66,0,Independiente
Colombia,,DF,Yerry Mina,"September 23, 1994",31,52,8,Cagliari
Colombia,,DF,Daniel Muñoz,"May 26, 1996",30,44,3,Crystal Palace
Colombia,,DF,Johan Mojica,"August 21, 1992",33,43,1,Mallorca
Colombia,,DF,Jhon Lucumí,"June 26, 1998",27,35,1,Bologna
Colombia,,DF,Deiver Machado,"September 2, 1993",32,14,0,Nantes
Colombia,,DF,Willer Ditta,"January 23, 1997",29,3,0,Cruz Azul
Colombia,,MF,James Rodríguez (captain),"July 12, 1991",34,124,31,Minnesota United FC
Colombia,,MF,Jefferson Lerma,"October 25, 1994",31,64,5,Crystal Palace
Colombia,,MF,Juan Fernando Quintero,"January 18, 1993",33,47,6,River Plate
Colombia,,MF,Jhon Arias,"September 21, 1997",28,36,4,Palmeiras
Colombia,,MF,Richard Ríos,"June 2, 2000",26,30,2,Benfica
Colombia,,MF,Kevin Castaño,"September 29, 2000",25,24,0,River Plate
Colombia,,MF,Jorge Carrascal,"May 25, 1998",28,22,2,Flamengo
Colombia,,MF,Jaminton Campaz,"May 24, 2000",26,9,1,Rosario Central
Colombia,,MF,Juan Portilla,"September 12, 1998",27,8,0,Athletico Paranaense
Colombia,,MF,Gustavo Puerta,"July 26, 2003",22,4,1,Racing Santander
Colombia,,FW,Luis Díaz,"January 13, 1997",29,72,21,Bayern Munich
Colombia,,FW,Jhon Córdoba,"May 11, 1993",33,21,6,Krasnodar
Colombia,,FW,Luis Suárez,"December 2, 1997",28,10,4,Sporting CP
Colombia,,FW,Cucho Hernández,"April 20, 1999",27,7,2,Real Betis
Colombia,,FW,Andrés Gómez,"September 12, 2002",23,6,2,Vasco da Gama
DR Congo,,GK,Lionel Mpasi,"August 1, 1994",31,27,0,Le Havre
DR Congo,,GK,Timothy Fayulu,"July 24, 1999",26,3,0,Noah
DR Congo,,GK,Matthieu Epolo,"January 15, 2005",21,1,0,Standard Liège
DR Congo,,DF,Chancel Mbemba (captain),"August 8, 1994",31,107,7,Lille
DR Congo,,DF,Arthur Masuaku,"November 7, 1993",32,44,4,Lens
DR Congo,,DF,Gédéon Kalulu,"August 29, 1997",28,27,0,Aris Limassol
DR Congo,,DF,Joris Kayembe,"August 8, 1994",31,24,0,Genk
DR Congo,,DF,Dylan Batubinsika,"February 15, 1996",30,14,1,AEL
DR Congo,,DF,Axel Tuanzebe,"November 14, 1997",28,12,1,Burnley
DR Congo,,DF,Aaron Wan-Bissaka,"November 26, 1997",28,10,0,West Ham United
DR Congo,,DF,Steve Kapuadi,"April 30, 1998",28,3,0,Widzew Łódź
DR Congo,,MF,Samuel Moutoussamy,"August 12, 1996",29,56,0,Atromitos
DR Congo,,MF,Edo Kayembe,"June 3, 1998",28,41,2,Watford
DR Congo,,MF,Charles Pickel,"May 15, 1997",29,33,1,Espanyol
DR Congo,,MF,Gaël Kakuta,"June 21, 1991",34,30,5,AEL
DR Congo,,MF,Noah Sadiki,"December 17, 2004",21,18,0,Sunderland
DR Congo,,MF,Aaron Tshibola,"January 2, 1995",31,16,1,Kilmarnock
DR Congo,,MF,Ngal'ayel Mukau,"November 3, 2004",21,12,0,Lille
DR Congo,,MF,Brian Cipenga,"March 11, 1998",28,7,0,Castellón
DR Congo,,FW,Cédric Bakambu,"April 11, 1991",35,68,21,Real Betis
DR Congo,,FW,Meschak Elia,"August 6, 1997",28,68,12,Alanyaspor
DR Congo,,FW,Théo Bongonda,"November 20, 1995",30,37,7,Spartak Moscow
DR Congo,,FW,Fiston Mayele,"June 24, 1994",31,37,6,Pyramids
DR Congo,,FW,Yoane Wissa,"September 3, 1996",29,36,9,Newcastle United
DR Congo,,FW,Nathanaël Mbuku,"March 16, 2002",24,17,2,Montpellier
DR Congo,,FW,Simon Banza,"August 13, 1996",29,14,2,Al-Jazira
